,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,part_time_beds,tag,index_right,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,geometry,str_geometry
3,497119467,node,15.0,,pharmacy,,Shorthorn,,,86331991.0,,,,c95ed8224a844508b7e2539345b8d7a3,,Mo-Su 07:00-22:00,,,,,4.0,,2020-06-08T05:58:39,,,,Mercury Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0200763178599 14.66840016585877),
12,4361891690,node,15.0,,doctors,,Scout Dr. Lazcano,,,41620619.0,,,,6c702af37c4a49d89dac127cc8a229f6,,,,,,,1.0,,2016-08-22T18:10:30,73-G,,,NYTheraspine,,FortuneSolace,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0313277655849 14.63150646466926),
21,7418383285,node,9.0,,pharmacy,,,,,83760358.0,,,,95dbaf6e0cfb4583a51716cbfb0c85ff,,,,,,,1.0,,2020-04-19T04:14:42,,,,The Generics Pharmacy,,Marah Pajutan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0671525226626 14.69999583369037),
63,7278748585,node,25.0,,hospital,,Quirino Highway,,,85720762.0,,,,b9e0c7a0573947f59cf999c83c4257e9,,,,,,,3.0,,2020-05-25T14:11:24,411,1116,Quezon City,Vian Family Hospital II,,ianlopez1115,,,,,,private,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0210619458541 14.68284696271155),
76,255070464,node,25.0,,hospital,,,,,89338589.0,,,,86da2596aba44314b7afe48b7a906fad,,,,jklinc;streetlevel imagery,,,6.0,yes,2020-08-13T07:01:48,,1100,Quezon City,Dr. Montano G. Ramos General Hospital,,b-jazz-bot,,,,,hospital,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0235617646565 14.65952146728418),
101,1245351260,node,9.0,,pharmacy,,,,,86331991.0,,,,62adef60c2254dd685ecc5efcf328868,,,,,,,2.0,,2020-06-08T05:58:57,,,,Southern Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0389027429399 14.67138353665533),
104,7328659788,node,21.0,,clinic,,Carlos P Garcia Avenue,,,82632960.0,,,+632 8426 9779,3b6287359df74424bbfb70d8f5b53e40,,,,,,,2.0,,2020-03-26T00:46:52,,,,UP Diliman Health Center,,GOwin,,,,,clinic,public,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0652744734376 14.64769066241183),
145,5317951132,node,12.0,,pharmacy,,,,,65734725.0,,,,a762e00a88954b83883b5101c0471b86,,,,,,,2.0,,2018-12-24T09:29:29,,,,Mercury Drug,,ianlopez1115,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0746429266146 14.64980625477284),
152,4714301289,node,15.0,,pharmacy,,,Generika Drug Store,,82570254.0,,,,f8a9ad96565c483c93f783e4aebbdc67,,,,,,,2.0,,2020-03-24T12:21:54,,,,Generika,,Cdfeliciano,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0676009544824 14.66414785874079),
166,4880979925,node,9.0,,clinic,,,,,49035941.0,,,,24dbd65d384f4b56a25528ae2642a14d,,,,,,,1.0,,2017-05-28T01:43:46,,,,health Clinic,,Jun Febreo,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0604544600176 14.61851292218873),
187,4223950189,node,12.0,,pharmacy,,,,,86332229.0,,,,d8088328a92f4dca92c236a04661579c,,Mo-Su 07:00-22:00,,,,,2.0,,2020-06-08T06:03:29,,,,Mercury Drug Fisher Mall,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0192527958731 14.63390335370076),
195,4574882593,node,9.0,,pharmacy,,,,,44703637.0,,,,6b54c6b4b99549b5ad899a69b2db7e14,,,,,,,1.0,,2016-12-27T11:17:45,,,,Cordlife,,Kingcute,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0560199303247 14.65745993819863),
203,6282176768,node,12.0,,clinic,,,,,84388126.0,,,,8c2dc10ba40c44d3b31b14e97598ca6d,,,,,,,2.0,no,2020-04-30T07:03:38,,,,Old Balara Clinic Center,,gavaleriano,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0746797231695 14.66302015748784),
249,6975522485,node,15.0,,dentist,,Ascencion Avenue,,,77046736.0,,,,9e410d5c67f249bea035378cf17383a5,,,,,,,1.0,,2019-11-14T03:15:50,B42 L63,,,Editha Sia Jose,,yahoo-cel_ph,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0666980558726 14.72604687257268),
257,4077640801,node,9.0,,pharmacy,,,,,84460137.0,,,,510c2a9910a24331aac53070c5fb1328,,,,,,,3.0,,2020-05-01T09:01:31,,,,Mercury Drug,,GrabPHMikko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0669704677257 14.70000731689771),
261,3227970121,node,9.0,,hospital,,,,,27375230.0,,,,aecf075f1eb443c5854c0bc58e4a0361,,,,,,,1.0,,2014-12-10T11:47:40,,,,Dental Clinic,,Adrien R,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0727537294583 14.63641909811926),
269,1441732479,node,9.0,,pharmacy,,,,,9964173.0,,,,aa4c3260770349c689615d5cb0cfe3ec,,,,,,,2.0,,2011-11-27T08:50:47,,,,Botika ng Bayan,,ianlopez1115,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0567837731609 14.67968597938676),
